Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
23205;Parc des Pierrettes;OUI;23;21;1;0;1;OUI;OUI;2025-10-18T18:36:18+02:00;48.7973062, 2.2909969;Châtillon;92020;
26008;Henri Barbusse - Bourguignons;OUI;34;26;5;2;3;OUI;OUI;2025-10-18T18:40:04+02:00;48.91301722799713, 2.2734212270774417;Asnières-sur-Seine;92004;
12165;Champs de Manoeuvre - Cartoucherie;OUI;35;8;23;15;8;OUI;OUI;2025-10-18T18:39:58+02:00;48.835261, 2.447974;Paris;75056;
34008;Garibaldi - Gabriel Péri;OUI;30;21;5;2;3;OUI;OUI;2025-10-18T18:40:18+02:00;48.905741911394, 2.3316044208059;Saint-Ouen-sur-Seine;93070;
11001;Richard Lenoir - Place de la Bastille;OUI;53;1;50;40;10;OUI;OUI;2025-10-18T18:40:18+02:00;48.8538327, 2.3697222;Paris;75056;
31301;Gare RER;OUI;30;23;4;2;2;OUI;OUI;2025-10-18T18:39:36+02:00;48.896280181078, 2.4581568985227;Noisy-le-Sec;93053;
21327;Jean Bouin - Gouverneur Général Eboué;OUI;31;24;6;6;0;OUI;OUI;2025-10-18T18:39:26+02:00;48.824792734266, 2.2651904328524;Issy-les-Moulineaux;92040;
31303;Simone Signoret - Paris;OUI;28;13;14;5;9;OUI;OUI;2025-10-18T18:40:02+02:00;48.903600624712865, 2.465406596265139;Noisy-le-Sec;93053;
34005;Adrien Lesesne - Docteur Bauer;OUI;30;24;4;2;2;OUI;OUI;2025-10-18T18:37:46+02:00;48.90263867304635, 2.348248063431511;Saint-Ouen-sur-Seine;93070;
17010;Jonquière - Docteur Paul Brousse;OUI;54;49;4;4;0;OUI;OUI;2025-10-18T18:37:31+02:00;48.894799816683985, 2.318705212173216;Paris;75056;
26009;Marceau Delorme - Pierre Brossolette;OUI;28;11;15;12;3;OUI;OUI;2025-10-18T18:36:41+02:00;48.91206062860357, 2.295897423568745;Asnières-sur-Seine;92004;
18026;Ruisseau - Ordener;OUI;35;30;3;1;2;OUI;OUI;2025-10-18T18:38:20+02:00;48.89299462568024, 2.340144887566567;Paris;75056;
34012;Bateliers - Quai de Seine;OUI;26;15;9;5;4;OUI;OUI;2025-10-18T18:34:10+02:00;48.915817585516, 2.3239533298594;Saint-Ouen-sur-Seine;93070;
